step	lr-Adam
4	0.001
9	0.001
14	0.001
19	0.001
24	0.001
29	0.001
34	0.001
39	0.001
44	0.001
49	0.001
54	0.001
59	0.001
64	0.001
69	0.001
74	0.001
79	0.001
84	0.001
89	0.001
94	0.001
99	0.001
104	0.001
109	0.001
114	0.001
119	0.001
124	0.001
129	0.001
134	0.001
139	0.001
144	0.001
149	0.001
154	0.001
159	0.001
164	0.001
169	0.001
174	0.001
179	0.001
184	0.001
189	0.001
194	0.001
199	0.001
204	0.001
209	0.001
214	0.001
219	0.001
224	0.001
229	0.001
234	0.001
239	0.001
244	0.001
249	0.001
254	0.001
259	0.001
264	0.001
269	0.001
274	0.001
279	0.001
284	0.001
289	0.001
294	0.001
299	0.001
304	0.001
309	0.001
314	0.001
319	0.001
324	0.001
329	0.001
334	0.001
339	0.001
344	0.001
349	0.001
354	0.001
359	0.001
364	0.001
369	0.001
374	0.001
379	0.001
384	0.001
389	0.001
394	0.001
399	0.001
404	0.001
409	0.001
414	0.001
419	0.001
424	0.001
429	0.001
434	0.001
439	0.001
444	0.001
449	0.001
454	0.001
459	0.001
464	0.001
469	0.001
474	0.001
479	0.001
484	0.001
489	0.001
494	0.001
499	0.001
504	0.001
509	0.001
514	0.001
519	0.001
524	0.001
529	0.001
534	0.001
539	0.001
544	0.001
549	0.001
554	0.001
559	0.001
564	0.001
569	0.001
574	0.001
579	0.001
584	0.001
589	0.001
594	0.001
599	0.001
604	0.001
609	0.001
614	0.001
619	0.001
624	0.001
629	0.001
634	0.001
639	0.001
644	0.001
649	0.001
654	0.001
659	0.001
664	0.001
669	0.001
674	0.001
679	0.001
684	0.001
689	0.001
694	0.001
699	0.001
704	0.001
709	0.001
714	0.001
719	0.001
724	0.001
729	0.001
734	0.001
739	0.001
744	0.001
749	0.001
754	0.001
759	0.001
764	0.001
769	0.001
774	0.001
779	0.001
784	0.001
789	0.001
794	0.001
799	0.001
804	0.001
809	0.001
814	0.001
819	0.001
824	0.001
829	0.001
834	0.001
839	0.001
844	0.001
849	0.001
854	0.001
859	0.001
864	0.001
869	0.001
874	0.001
879	0.001
884	0.001
889	0.001
894	0.001
899	0.001
904	0.001
909	0.001
914	0.001
919	0.001
924	0.001
929	0.001
934	0.001
939	0.001
944	0.001
949	0.001
954	0.001
959	0.001
964	0.001
969	0.001
974	0.001
979	0.001
984	0.001
989	0.001
994	0.001
999	0.001
1004	0.001
1009	0.001
1014	0.001
1019	0.001
1024	0.001
1029	0.001
1034	0.001
1039	0.001
1044	0.001
1049	0.001
1054	0.001
1059	0.001
1064	0.001
1069	0.001
1074	0.001
1079	0.001
1084	0.001
1089	0.001
1094	0.001
1099	0.001
1104	0.001
1109	0.001
1114	0.001
1119	0.001
1124	0.001
1129	0.001
1134	0.001
1139	0.001
1144	0.001
1149	0.001
1154	0.001
1159	0.001
1164	0.001
1169	0.001
1174	0.001
1179	0.001
1184	0.001
1189	0.001
1194	0.001
1199	0.001
1204	0.001
1209	0.001
1214	0.001
1219	0.001
1224	0.001
1229	0.001
1234	0.001
1239	0.001
1244	0.001
1249	0.001
1254	0.001
1259	0.001
1264	0.001
1269	0.001
1274	0.001
1279	0.001
1284	0.001
1289	0.001
1294	0.001
1299	0.001
1304	0.001
1309	0.001
1314	0.001
1319	0.001
1324	0.001
1329	0.001
1334	0.001
1339	0.001
1344	0.001
1349	0.001
1354	0.001
1359	0.001
1364	0.001
1369	0.001
1374	0.001
1379	0.001
1384	0.001
1389	0.001
1394	0.001
1399	0.001
1404	0.001
1409	0.001
1414	0.001
1419	0.001
1424	0.001
1429	0.001
1434	0.001
1439	0.001
1444	0.001
1449	0.001
1454	0.001
1459	0.001
1464	0.001
1469	0.001
1474	0.001
1479	0.001
1484	0.001
1489	0.001
1494	0.001
1499	0.001
1504	0.001
1509	0.001
1514	0.001
1519	0.001
1524	0.001
1529	0.001
1534	0.001
1539	0.001
1544	0.001
1549	0.001
1554	0.001
1559	0.001
1564	0.001
1569	0.001
1574	0.001
1579	0.001
1584	0.001
1589	0.001
1594	0.001
1599	0.001
1604	0.001
1609	0.001
1614	0.001
1619	0.001
1624	0.001
1629	0.001
1634	0.001
1639	0.001
1644	0.001
1649	0.001
1654	0.001
1659	0.001
1664	0.001
1669	0.001
1674	0.001
1679	0.001
1684	0.001
1689	0.001
1694	0.001
1699	0.001
1704	0.001
1709	0.001
1714	0.001
1719	0.001
1724	0.001
1729	0.001
1734	0.001
1739	0.001
1744	0.001
1749	0.001
1754	0.001
1759	0.001
1764	0.001
1769	0.001
1774	0.001
1779	0.001
1784	0.001
1789	0.001
1794	0.001
1799	0.001
1804	0.001
1809	0.001
1814	0.001
1819	0.001
1824	0.001
1829	0.001
1834	0.001
1839	0.001
1844	0.001
1849	0.001
1854	0.001
1859	0.001
1864	0.001
1869	0.001
1874	0.001
1879	0.001
1884	0.001
1889	0.001
1894	0.001
1899	0.001
1904	0.001
1909	0.001
1914	0.001
1919	0.001
1924	0.001
1929	0.001
1934	0.001
1939	0.001
1944	0.001
1949	0.001
1954	0.001
1959	0.001
1964	0.001
1969	0.001
1974	0.001
1979	0.001
1984	0.001
1989	0.001
1994	0.001
1999	0.001
2004	0.001
2009	0.001
2014	0.001
2019	0.001
2024	0.001
2029	0.001
2034	0.001
2039	0.001
2044	0.001
2049	0.001
2054	0.001
2059	0.001
2064	0.001
2069	0.001
2074	0.001
2079	0.001
2084	0.001
2089	0.001
2094	0.001
2099	0.001
2104	0.001
2109	0.001
2114	0.001
2119	0.001
2124	0.001
2129	0.001
2134	0.001
2139	0.001
2144	0.001
2149	0.001
2154	0.001
2159	0.001
2164	0.001
2169	0.001
2174	0.001
2179	0.001
2184	0.001
2189	0.001
2194	0.001
2199	0.001
2204	0.001
2209	0.001
2214	0.001
2219	0.001
2224	0.001
2229	0.001
2234	0.001
2239	0.001
2244	0.001
2249	0.001
2254	0.001
2259	0.001
2264	0.001
2269	0.001
2274	0.001
2279	0.001
2284	0.001
2289	0.001
2294	0.001
2299	0.001
2304	0.001
2309	0.001
2314	0.001
2319	0.001
2324	0.001
2329	0.001
2334	0.001
2339	0.001
2344	0.001
2349	0.001
2354	0.001
2359	0.001
2364	0.001
2369	0.001
2374	0.001
2379	0.001
2384	0.001
2389	0.001
2394	0.001
2399	0.001
2404	0.001
2409	0.001
2414	0.001
2419	0.001
2424	0.001
2429	0.001
2434	0.001
2439	0.001
2444	0.001
2449	0.001
2454	0.001
2459	0.001
2464	0.001
2469	0.001
2474	0.001
2479	0.001
2484	0.001
2489	0.001
2494	0.001
2499	0.001
2504	0.001
2509	0.001
2514	0.001
2519	0.001
2524	0.001
2529	0.001
2534	0.001
2539	0.001
2544	0.001
2549	0.001
2554	0.001
2559	0.001
2564	0.001
2569	0.001
2574	0.001
2579	0.001
2584	0.001
2589	0.001
2594	0.001
2599	0.001
2604	0.001
2609	0.001
2614	0.001
2619	0.001
2624	0.001
2629	0.001
2634	0.001
2639	0.001
2644	0.001
2649	0.001
2654	0.001
2659	0.001
2664	0.001
2669	0.001
2674	0.001
2679	0.001
2684	0.001
2689	0.001
2694	0.001
2699	0.001
2704	0.001
2709	0.001
2714	0.001
2719	0.001
2724	0.001
2729	0.001
2734	0.001
2739	0.001
2744	0.001
2749	0.001
2754	0.001
2759	0.001
2764	0.001
2769	0.001
2774	0.001
2779	0.001
2784	0.001
2789	0.001
2794	0.001
2799	0.001
2804	0.001
2809	0.001
2814	0.001
2819	0.001
2824	0.001
2829	0.001
2834	0.001
2839	0.001
2844	0.001
2849	0.001
2854	0.001
2859	0.001
2864	0.001
2869	0.001
2874	0.001
2879	0.001
2884	0.001
2889	0.001
2894	0.001
2899	0.001
2904	0.001
2909	0.001
2914	0.001
2919	0.001
2924	0.001
2929	0.001
2934	0.001
2939	0.001
2944	0.001
2949	0.001
2954	0.001
2959	0.001
2964	0.001
2969	0.001
2974	0.001
2979	0.001
2984	0.001
2989	0.001
2994	0.001
2999	0.001
3004	0.001
3009	0.001
3014	0.001
3019	0.001
3024	0.001
3029	0.001
3034	0.001
3039	0.001
3044	0.001
3049	0.001
3054	0.001
3059	0.001
3064	0.001
3069	0.001
3074	0.001
3079	0.001
3084	0.001
3089	0.001
3094	0.001
3099	0.001
3104	0.001
3109	0.001
3114	0.001
3119	0.001
3124	0.001
3129	0.001
3134	0.001
3139	0.001
3144	0.001
3149	0.001
0	0.001
1	0.001
2	0.001
3	0.001
4	0.001
5	0.001
6	0.001
7	0.001
8	0.001
9	0.001
10	0.001
11	0.001
12	0.001
13	0.001
14	0.001
15	0.001
16	0.001
17	0.001
18	0.001
19	0.001
20	0.001
21	0.001
22	0.001
23	0.001
24	0.001
25	0.001
26	0.001
27	0.001
28	0.001
29	0.001
30	0.001
31	0.001
32	0.001
33	0.001
34	0.001
35	0.001
36	0.001
37	0.001
38	0.001
39	0.001
40	0.001
41	0.001
42	0.001
43	0.001
44	0.001
45	0.001
46	0.001
47	0.001
48	0.001
49	0.001
50	0.001
51	0.001
52	0.001
53	0.001
54	0.001
55	0.001
56	0.001
57	0.001
58	0.001
59	0.001
60	0.001
61	0.001
62	0.001
63	0.001
64	0.001
65	0.001
66	0.001
67	0.001
68	0.001
69	0.001
70	0.001
71	0.001
72	0.001
73	0.001
74	0.001
75	0.001
76	0.001
77	0.001
78	0.001
79	0.001
80	0.001
81	0.001
82	0.001
83	0.001
84	0.001
85	0.001
86	0.001
87	0.001
88	0.001
89	0.001
90	0.001
91	0.001
92	0.001
93	0.001
94	0.001
95	0.001
96	0.001
97	0.001
98	0.001
99	0.001
100	0.001
101	0.001
102	0.001
103	0.001
104	0.001
105	0.001
106	0.001
107	0.001
108	0.001
109	0.001
110	0.001
111	0.001
112	0.001
113	0.001
114	0.001
115	0.001
116	0.001
117	0.001
118	0.001
119	0.001
120	0.001
121	0.001
122	0.001
123	0.001
124	0.001
125	0.001
126	0.001
127	0.001
128	0.001
129	0.001
130	0.001
131	0.001
132	0.001
133	0.001
134	0.001
135	0.001
136	0.001
137	0.001
138	0.001
139	0.001
140	0.001
141	0.001
142	0.001
143	0.001
144	0.001
145	0.001
146	0.001
147	0.001
148	0.001
149	0.001
150	0.001
151	0.001
152	0.001
153	0.001
154	0.001
155	0.001
156	0.001
157	0.001
158	0.001
159	0.001
160	0.001
161	0.001
162	0.001
163	0.001
164	0.001
165	0.001
166	0.001
167	0.001
168	0.001
169	0.001
170	0.001
171	0.001
172	0.001
173	0.001
174	0.001
175	0.001
176	0.001
177	0.001
178	0.001
179	0.001
180	0.001
181	0.001
182	0.001
183	0.001
184	0.001
185	0.001
186	0.001
187	0.001
188	0.001
189	0.001
190	0.001
191	0.001
192	0.001
193	0.001
194	0.001
195	0.001
196	0.001
197	0.001
198	0.001
199	0.001
200	0.001
201	0.001
202	0.001
203	0.001
204	0.001
205	0.001
206	0.001
207	0.001
208	0.001
209	0.001
210	0.001
211	0.001
212	0.001
213	0.001
214	0.001
215	0.001
216	0.001
217	0.001
218	0.001
219	0.001
220	0.001
221	0.001
222	0.001
223	0.001
224	0.001
225	0.001
226	0.001
227	0.001
228	0.001
229	0.001
230	0.001
231	0.001
232	0.001
233	0.001
234	0.001
235	0.001
236	0.001
237	0.001
238	0.001
239	0.001
240	0.001
241	0.001
242	0.001
243	0.001
244	0.001
245	0.001
246	0.001
247	0.001
248	0.001
249	0.001
250	0.001
251	0.001
252	0.001
253	0.001
254	0.001
255	0.001
256	0.001
257	0.001
258	0.001
259	0.001
260	0.001
261	0.001
262	0.001
263	0.001
264	0.001
265	0.001
266	0.001
267	0.001
268	0.001
269	0.001
270	0.001
271	0.001
272	0.001
273	0.001
274	0.001
275	0.001
276	0.001
277	0.001
278	0.001
279	0.001
280	0.001
281	0.001
282	0.001
283	0.001
284	0.001
285	0.001
286	0.001
287	0.001
288	0.001
289	0.001
290	0.001
291	0.001
292	0.001
293	0.001
294	0.001
295	0.001
296	0.001
297	0.001
298	0.001
299	0.001
300	0.001
301	0.001
302	0.001
303	0.001
304	0.001
305	0.001
306	0.001
307	0.001
308	0.001
309	0.001
310	0.001
311	0.001
312	0.001
313	0.001
314	0.001
315	0.001
316	0.001
317	0.001
318	0.001
319	0.001
320	0.001
321	0.001
322	0.001
323	0.001
324	0.001
325	0.001
326	0.001
327	0.001
328	0.001
329	0.001
330	0.001
331	0.001
332	0.001
333	0.001
334	0.001
335	0.001
336	0.001
337	0.001
338	0.001
339	0.001
340	0.001
341	0.001
342	0.001
343	0.001
344	0.001
345	0.001
346	0.001
347	0.001
348	0.001
349	0.001
350	0.001
351	0.001
352	0.001
353	0.001
354	0.001
355	0.001
356	0.001
357	0.001
358	0.001
359	0.001
360	0.001
361	0.001
362	0.001
363	0.001
364	0.001
365	0.001
366	0.001
367	0.001
368	0.001
369	0.001
370	0.001
371	0.001
372	0.001
373	0.001
374	0.001
375	0.001
376	0.001
377	0.001
378	0.001
379	0.001
380	0.001
381	0.001
382	0.001
383	0.001
384	0.001
385	0.001
386	0.001
387	0.001
388	0.001
389	0.001
390	0.001
391	0.001
392	0.001
393	0.001
394	0.001
395	0.001
396	0.001
397	0.001
398	0.001
399	0.001
400	0.001
401	0.001
402	0.001
403	0.001
404	0.001
405	0.001
406	0.001
407	0.001
408	0.001
409	0.001
410	0.001
411	0.001
412	0.001
413	0.001
414	0.001
415	0.001
416	0.001
417	0.001
418	0.001
419	0.001
420	0.001
421	0.001
422	0.001
423	0.001
424	0.001
425	0.001
426	0.001
427	0.001
428	0.001
429	0.001
430	0.001
431	0.001
432	0.001
433	0.001
434	0.001
435	0.001
436	0.001
437	0.001
438	0.001
439	0.001
440	0.001
441	0.001
442	0.001
443	0.001
444	0.001
445	0.001
446	0.001
447	0.001
448	0.001
449	0.001
450	0.001
451	0.001
452	0.001
453	0.001
454	0.001
455	0.001
456	0.001
457	0.001
458	0.001
459	0.001
460	0.001
461	0.001
462	0.001
463	0.001
464	0.001
465	0.001
466	0.001
467	0.001
468	0.001
469	0.001
470	0.001
471	0.001
472	0.001
473	0.001
474	0.001
475	0.001
476	0.001
477	0.001
478	0.001
479	0.001
480	0.001
481	0.001
482	0.001
483	0.001
484	0.001
485	0.001
486	0.001
487	0.001
488	0.001
489	0.001
490	0.001
491	0.001
492	0.001
493	0.001
494	0.001
495	0.001
496	0.001
497	0.001
498	0.001
499	0.001
500	0.001
501	0.001
502	0.001
503	0.001
504	0.001
505	0.001
506	0.001
507	0.001
508	0.001
509	0.001
510	0.001
511	0.001
512	0.001
513	0.001
514	0.001
515	0.001
516	0.001
517	0.001
518	0.001
519	0.001
520	0.001
521	0.001
522	0.001
523	0.001
524	0.001
525	0.001
526	0.001
527	0.001
528	0.001
529	0.001
530	0.001
531	0.001
532	0.001
533	0.001
534	0.001
535	0.001
536	0.001
537	0.001
538	0.001
539	0.001
540	0.001
541	0.001
542	0.001
543	0.001
544	0.001
545	0.001
546	0.001
547	0.001
548	0.001
549	0.001
550	0.001
551	0.001
552	0.001
553	0.001
554	0.001
555	0.001
556	0.001
557	0.001
558	0.001
559	0.001
560	0.001
561	0.001
562	0.001
563	0.001
564	0.001
565	0.001
566	0.001
567	0.001
568	0.001
569	0.001
570	0.001
571	0.001
572	0.001
573	0.001
574	0.001
575	0.001
576	0.001
577	0.001
578	0.001
579	0.001
580	0.001
581	0.001
582	0.001
583	0.001
584	0.001
585	0.001
586	0.001
587	0.001
588	0.001
589	0.001
590	0.001
591	0.001
592	0.001
593	0.001
594	0.001
595	0.001
596	0.001
597	0.001
598	0.001
599	0.001
600	0.001
601	0.001
602	0.001
603	0.001
604	0.001
605	0.001
606	0.001
607	0.001
608	0.001
609	0.001
610	0.001
611	0.001
612	0.001
613	0.001
614	0.001
615	0.001
616	0.001
617	0.001
618	0.001
619	0.001
620	0.001
621	0.001
622	0.001
623	0.001
624	0.001
625	0.001
626	0.001
627	0.001
628	0.001
629	0.001
630	0.001
631	0.001
632	0.001
633	0.001
634	0.001
635	0.001
636	0.001
637	0.001
638	0.001
639	0.001
640	0.001
641	0.001
642	0.001
643	0.001
644	0.001
645	0.001
646	0.001
647	0.001
648	0.001
649	0.001
650	0.001
651	0.001
652	0.001
653	0.001
654	0.001
655	0.001
656	0.001
657	0.001
658	0.001
659	0.001
660	0.001
661	0.001
662	0.001
663	0.001
664	0.001
665	0.001
666	0.001
667	0.001
668	0.001
669	0.001
670	0.001
671	0.001
672	0.001
673	0.001
674	0.001
675	0.001
676	0.001
677	0.001
678	0.001
679	0.001
680	0.001
681	0.001
682	0.001
683	0.001
684	0.001
685	0.001
686	0.001
687	0.001
688	0.001
689	0.001
690	0.001
691	0.001
692	0.001
693	0.001
694	0.001
695	0.001
696	0.001
697	0.001
698	0.001
699	0.001
700	0.001
701	0.001
702	0.001
703	0.001
704	0.001
705	0.001
706	0.001
707	0.001
708	0.001
709	0.001
710	0.001
711	0.001
712	0.001
713	0.001
714	0.001
715	0.001
716	0.001
717	0.001
718	0.001
719	0.001
720	0.001
721	0.001
722	0.001
723	0.001
724	0.001
725	0.001
726	0.001
727	0.001
728	0.001
729	0.001
730	0.001
731	0.001
732	0.001
733	0.001
734	0.001
735	0.001
736	0.001
737	0.001
738	0.001
739	0.001
740	0.001
741	0.001
742	0.001
743	0.001
744	0.001
745	0.001
746	0.001
747	0.001
748	0.001
749	0.001
750	0.001
751	0.001
752	0.001
753	0.001
754	0.001
755	0.001
756	0.001
757	0.001
758	0.001
759	0.001
760	0.001
761	0.001
762	0.001
763	0.001
764	0.001
765	0.001
766	0.001
767	0.001
768	0.001
769	0.001
770	0.001
771	0.001
772	0.001
773	0.001
774	0.001
775	0.001
776	0.001
777	0.001
778	0.001
779	0.001
780	0.001
781	0.001
782	0.001
783	0.001
784	0.001
785	0.001
786	0.001
787	0.001
788	0.001
789	0.001
790	0.001
791	0.001
792	0.001
793	0.001
794	0.001
795	0.001
796	0.001
797	0.001
798	0.001
799	0.001
800	0.001
801	0.001
802	0.001
803	0.001
804	0.001
805	0.001
806	0.001
807	0.001
808	0.001
809	0.001
810	0.001
811	0.001
812	0.001
813	0.001
814	0.001
815	0.001
816	0.001
817	0.001
818	0.001
819	0.001
820	0.001
821	0.001
822	0.001
823	0.001
824	0.001
825	0.001
826	0.001
827	0.001
828	0.001
829	0.001
830	0.001
831	0.001
832	0.001
833	0.001
834	0.001
835	0.001
836	0.001
837	0.001
838	0.001
839	0.001
840	0.001
841	0.001
842	0.001
843	0.001
844	0.001
845	0.001
846	0.001
847	0.001
848	0.001
849	0.001
850	0.001
851	0.001
852	0.001
