step	lr-Adam
4	0.001
9	0.001
14	0.001
19	0.001
24	0.001
29	0.001
34	0.001
39	0.001
44	0.001
49	0.001
54	0.001
59	0.001
64	0.001
69	0.001
74	0.001
79	0.001
84	0.001
89	0.001
94	0.001
99	0.001
104	0.001
109	0.001
114	0.001
119	0.001
124	0.001
129	0.001
134	0.001
139	0.001
144	0.001
149	0.001
154	0.001
159	0.001
164	0.001
169	0.001
174	0.001
179	0.001
184	0.001
189	0.001
194	0.001
199	0.001
204	0.001
209	0.001
214	0.001
219	0.001
224	0.001
229	0.001
234	0.001
239	0.001
244	0.001
249	0.001
254	0.001
259	0.001
264	0.001
269	0.001
274	0.001
279	0.001
284	0.001
289	0.001
294	0.001
299	0.001
304	0.001
309	0.001
314	0.001
319	0.001
324	0.001
329	0.001
334	0.001
339	0.001
344	0.001
349	0.001
354	0.001
359	0.001
364	0.001
369	0.001
374	0.001
379	0.001
384	0.001
389	0.001
394	0.001
399	0.001
404	0.001
409	0.001
414	0.001
419	0.001
424	0.001
429	0.001
434	0.001
439	0.001
444	0.001
449	0.001
454	0.001
459	0.001
464	0.001
469	0.001
474	0.001
479	0.001
484	0.001
489	0.001
494	0.001
499	0.001
504	0.001
509	0.001
514	0.001
519	0.001
524	0.001
529	0.001
534	0.001
539	0.001
544	0.001
549	0.001
554	0.001
559	0.001
564	0.001
569	0.001
574	0.001
579	0.001
584	0.001
589	0.001
594	0.001
599	0.001
604	0.001
609	0.001
614	0.001
619	0.001
624	0.001
629	0.001
634	0.001
639	0.001
644	0.001
649	0.001
654	0.001
659	0.001
664	0.001
669	0.001
674	0.001
679	0.001
684	0.001
689	0.001
694	0.001
699	0.001
704	0.001
709	0.001
714	0.001
719	0.001
724	0.001
729	0.001
734	0.001
739	0.001
744	0.001
749	0.001
754	0.001
759	0.001
764	0.001
769	0.001
774	0.001
779	0.001
784	0.001
789	0.001
794	0.001
799	0.001
804	0.001
809	0.001
814	0.001
819	0.001
824	0.001
829	0.001
834	0.001
839	0.001
844	0.001
849	0.001
854	0.001
859	0.001
864	0.001
869	0.001
874	0.001
879	0.001
884	0.001
889	0.001
894	0.001
899	0.001
904	0.001
909	0.001
914	0.001
919	0.001
924	0.001
929	0.001
934	0.001
939	0.001
944	0.001
949	0.001
954	0.001
959	0.001
964	0.001
969	0.001
974	0.001
979	0.001
984	0.001
989	0.001
994	0.001
999	0.001
1004	0.001
1009	0.001
1014	0.001
1019	0.001
1024	0.001
1029	0.001
1034	0.001
1039	0.001
1044	0.001
1049	0.001
1054	0.001
1059	0.001
1064	0.001
1069	0.001
1074	0.001
1079	0.001
1084	0.001
1089	0.001
1094	0.001
1099	0.001
1104	0.001
1109	0.001
1114	0.001
1119	0.001
1124	0.001
1129	0.001
1134	0.001
1139	0.001
1144	0.001
1149	0.001
1154	0.001
1159	0.001
1164	0.001
1169	0.001
1174	0.001
1179	0.001
1184	0.001
1189	0.001
1194	0.001
1199	0.001
1204	0.001
1209	0.001
1214	0.001
1219	0.001
1224	0.001
1229	0.001
1234	0.001
1239	0.001
1244	0.001
1249	0.001
1254	0.001
1259	0.001
1264	0.001
1269	0.001
1274	0.001
1279	0.001
1284	0.001
1289	0.001
1294	0.001
1299	0.001
1304	0.001
1309	0.001
1314	0.001
1319	0.001
1324	0.001
1329	0.001
1334	0.001
1339	0.001
1344	0.001
1349	0.001
1354	0.001
1359	0.001
1364	0.001
1369	0.001
1374	0.001
1379	0.001
1384	0.001
1389	0.001
1394	0.001
1399	0.001
1404	0.001
1409	0.001
1414	0.001
1419	0.001
1424	0.001
1429	0.001
1434	0.001
1439	0.001
1444	0.001
1449	0.001
1454	0.001
1459	0.001
1464	0.001
1469	0.001
1474	0.001
1479	0.001
1484	0.001
1489	0.001
1494	0.001
1499	0.001
1504	0.001
1509	0.001
1514	0.001
1519	0.001
1524	0.001
1529	0.001
1534	0.001
1539	0.001
1544	0.001
1549	0.001
1554	0.001
1559	0.001
1564	0.001
1569	0.001
1574	0.001
1579	0.001
1584	0.001
1589	0.001
1594	0.001
1599	0.001
1604	0.001
1609	0.001
1614	0.001
1619	0.001
1624	0.001
1629	0.001
1634	0.001
1639	0.001
1644	0.001
1649	0.001
1654	0.001
1659	0.001
1664	0.001
1669	0.001
1674	0.001
1679	0.001
1684	0.001
1689	0.001
1694	0.001
1699	0.001
1704	0.001
1709	0.001
1714	0.001
1719	0.001
1724	0.001
1729	0.001
1734	0.001
1739	0.001
1744	0.001
1749	0.001
1754	0.001
1759	0.001
1764	0.001
1769	0.001
1774	0.001
1779	0.001
1784	0.001
1789	0.001
1794	0.001
1799	0.001
1804	0.001
1809	0.001
1814	0.001
1819	0.001
1824	0.001
1829	0.001
1834	0.001
1839	0.001
1844	0.001
1849	0.001
1854	0.001
1859	0.001
1864	0.001
1869	0.001
1874	0.001
1879	0.001
1884	0.001
1889	0.001
1894	0.001
1899	0.001
1904	0.001
1909	0.001
1914	0.001
1919	0.001
1924	0.001
1929	0.001
1934	0.001
1939	0.001
1944	0.001
1949	0.001
1954	0.001
1959	0.001
1964	0.001
1969	0.001
1974	0.001
1979	0.001
1984	0.001
1989	0.001
1994	0.001
1999	0.001
2004	0.001
2009	0.001
2014	0.001
2019	0.001
2024	0.001
2029	0.001
2034	0.001
2039	0.001
2044	0.001
2049	0.001
2054	0.001
2059	0.001
2064	0.001
2069	0.001
2074	0.001
2079	0.001
2084	0.001
2089	0.001
2094	0.001
2099	0.001
2104	0.001
2109	0.001
2114	0.001
2119	0.001
2124	0.001
2129	0.001
2134	0.001
2139	0.001
2144	0.001
2149	0.001
2154	0.001
2159	0.001
2164	0.001
2169	0.001
2174	0.001
2179	0.001
2184	0.001
2189	0.001
2194	0.001
2199	0.001
2204	0.001
2209	0.001
2214	0.001
2219	0.001
2224	0.001
2229	0.001
2234	0.001
2239	0.001
2244	0.001
2249	0.001
2254	0.001
2259	0.001
2264	0.001
2269	0.001
2274	0.001
2279	0.001
2284	0.001
2289	0.001
2294	0.001
2299	0.001
2304	0.001
2309	0.001
2314	0.001
2319	0.001
2324	0.001
2329	0.001
2334	0.001
2339	0.001
2344	0.001
2349	0.001
2354	0.001
2359	0.001
2364	0.001
2369	0.001
2374	0.001
2379	0.001
2384	0.001
2389	0.001
2394	0.001
2399	0.001
2404	0.001
2409	0.001
2414	0.001
2419	0.001
2424	0.001
2429	0.001
2434	0.001
2439	0.001
2444	0.001
2449	0.001
2454	0.001
2459	0.001
2464	0.001
2469	0.001
2474	0.001
2479	0.001
2484	0.001
2489	0.001
2494	0.001
2499	0.001
2504	0.001
2509	0.001
2514	0.001
2519	0.001
2524	0.001
2529	0.001
2534	0.001
2539	0.001
2544	0.001
2549	0.001
2554	0.001
2559	0.001
2564	0.001
2569	0.001
2574	0.001
2579	0.001
2584	0.001
2589	0.001
2594	0.001
2599	0.001
2604	0.001
2609	0.001
2614	0.001
2619	0.001
2624	0.001
2629	0.001
2634	0.001
2639	0.001
2644	0.001
2649	0.001
2654	0.001
2659	0.001
2664	0.001
2669	0.001
2674	0.001
2679	0.001
2684	0.001
2689	0.001
2694	0.001
2699	0.001
2704	0.001
2709	0.001
2714	0.001
2719	0.001
2724	0.001
2729	0.001
2734	0.001
2739	0.001
2744	0.001
2749	0.001
2754	0.001
2759	0.001
2764	0.001
2769	0.001
2774	0.001
2779	0.001
2784	0.001
2789	0.001
2794	0.001
2799	0.001
2804	0.001
2809	0.001
2814	0.001
2819	0.001
2824	0.001
2829	0.001
2834	0.001
2839	0.001
2844	0.001
2849	0.001
2854	0.001
2859	0.001
2864	0.001
2869	0.001
2874	0.001
2879	0.001
2884	0.001
2889	0.001
2894	0.001
2899	0.001
2904	0.001
2909	0.001
2914	0.001
2919	0.001
2924	0.001
2929	0.001
2934	0.001
2939	0.001
2944	0.001
2949	0.001
2954	0.001
2959	0.001
2964	0.001
2969	0.001
2974	0.001
2979	0.001
2984	0.001
2989	0.001
2994	0.001
2999	0.001
3004	0.001
3009	0.001
3014	0.001
3019	0.001
3024	0.001
3029	0.001
3034	0.001
3039	0.001
3044	0.001
3049	0.001
3054	0.001
3059	0.001
3064	0.001
3069	0.001
3074	0.001
3079	0.001
3084	0.001
3089	0.001
3094	0.001
3099	0.001
3104	0.001
3109	0.001
3114	0.001
3119	0.001
3124	0.001
3129	0.001
3134	0.001
3139	0.001
3144	0.001
3149	0.001
3154	0.001
3159	0.001
3164	0.001
3169	0.001
3174	0.001
3179	0.001
3184	0.001
3189	0.001
3194	0.001
3199	0.001
3204	0.001
3209	0.001
3214	0.001
3219	0.001
3224	0.001
3229	0.001
3234	0.001
3239	0.001
3244	0.001
3249	0.001
3254	0.001
3259	0.001
3264	0.001
3269	0.001
3274	0.001
3279	0.001
3284	0.001
3289	0.001
3294	0.001
3299	0.001
3304	0.001
3309	0.001
3314	0.001
3319	0.001
3324	0.001
3329	0.001
3334	0.001
3339	0.001
3344	0.001
3349	0.001
3354	0.001
3359	0.001
3364	0.001
3369	0.001
3374	0.001
3379	0.001
3384	0.001
3389	0.001
3394	0.001
3399	0.001
3404	0.001
3409	0.001
3414	0.001
3419	0.001
3424	0.001
3429	0.001
3434	0.001
3439	0.001
3444	0.001
3449	0.001
3454	0.001
3459	0.001
3464	0.001
3469	0.001
3474	0.001
3479	0.001
3484	0.001
3489	0.001
3494	0.001
3499	0.001
3504	0.001
3509	0.001
3514	0.001
3519	0.001
3524	0.001
3529	0.001
3534	0.001
3539	0.001
3544	0.001
3549	0.001
3554	0.001
3559	0.001
3564	0.001
3569	0.001
3574	0.001
3579	0.001
3584	0.001
3589	0.001
3594	0.001
3599	0.001
3604	0.001
3609	0.001
3614	0.001
3619	0.001
3624	0.001
3629	0.001
3634	0.001
3639	0.001
3644	0.001
3649	0.001
3654	0.001
3659	0.001
3664	0.001
3669	0.001
3674	0.001
3679	0.001
3684	0.001
3689	0.001
3694	0.001
3699	0.001
3704	0.001
3709	0.001
3714	0.001
3719	0.001
3724	0.001
3729	0.001
3734	0.001
3739	0.001
3744	0.001
3749	0.001
3754	0.001
3759	0.001
3764	0.001
3769	0.001
3774	0.001
3779	0.001
3784	0.001
3789	0.001
3794	0.001
3799	0.001
3804	0.001
3809	0.001
3814	0.001
3819	0.001
3824	0.001
3829	0.001
3834	0.001
3839	0.001
3844	0.001
3849	0.001
3854	0.001
3859	0.001
3864	0.001
3869	0.001
3874	0.001
3879	0.001
3884	0.001
3889	0.001
3894	0.001
3899	0.001
3904	0.001
3909	0.001
3914	0.001
3919	0.001
3924	0.001
3929	0.001
3934	0.001
3939	0.001
3944	0.001
3949	0.001
3954	0.001
3959	0.001
3964	0.001
3969	0.001
3974	0.001
3979	0.001
3984	0.001
3989	0.001
3994	0.001
3999	0.001
4004	0.001
4009	0.001
4014	0.001
4019	0.001
4024	0.001
4029	0.001
4034	0.001
4039	0.001
4044	0.001
4049	0.001
4054	0.001
4059	0.001
4064	0.001
4069	0.001
4074	0.001
4079	0.001
4084	0.001
4089	0.001
4094	0.001
4099	0.001
4104	0.001
4109	0.001
4114	0.001
4119	0.001
4124	0.001
4129	0.001
4134	0.001
4139	0.001
4144	0.001
4149	0.001
4154	0.001
4159	0.001
4164	0.001
4169	0.001
4174	0.001
4179	0.001
4184	0.001
4189	0.001
4194	0.001
4199	0.001
4204	0.001
4209	0.001
4214	0.001
4219	0.001
4224	0.001
4229	0.001
4234	0.001
4239	0.001
4244	0.001
4249	0.001
4254	0.001
4259	0.001
4264	0.001
4269	0.001
4274	0.001
4279	0.001
4284	0.001
4289	0.001
4294	0.001
4299	0.001
4304	0.001
4309	0.001
4314	0.001
4319	0.001
4324	0.001
4329	0.001
4334	0.001
4339	0.001
4344	0.001
4349	0.001
4354	0.001
4359	0.001
4364	0.001
4369	0.001
4374	0.001
4379	0.001
4384	0.001
4389	0.001
4394	0.001
4399	0.001
4404	0.001
4409	0.001
4414	0.001
4419	0.001
4424	0.001
4429	0.001
4434	0.001
4439	0.001
4444	0.001
4449	0.001
4454	0.001
4459	0.001
4464	0.001
4469	0.001
4474	0.001
4479	0.001
4484	0.001
4489	0.001
4494	0.001
4499	0.001
4504	0.001
4509	0.001
4514	0.001
4519	0.001
4524	0.001
4529	0.001
4534	0.001
4539	0.001
4544	0.001
4549	0.001
4554	0.001
4559	0.001
4564	0.001
4569	0.001
4574	0.001
4579	0.001
4584	0.001
4589	0.001
4594	0.001
4599	0.001
4604	0.001
4609	0.001
4614	0.001
4619	0.001
4624	0.001
4629	0.001
4634	0.001
4639	0.001
4644	0.001
4649	0.001
4654	0.001
4659	0.001
4664	0.001
4669	0.001
4674	0.001
4679	0.001
4684	0.001
4689	0.001
4694	0.001
4699	0.001
4704	0.001
4709	0.001
4714	0.001
4719	0.001
4724	0.001
4729	0.001
4734	0.001
4739	0.001
4744	0.001
4749	0.001
4754	0.001
4759	0.001
4764	0.001
4769	0.001
4774	0.001
4779	0.001
4784	0.001
4789	0.001
4794	0.001
4799	0.001
4804	0.001
4809	0.001
4814	0.001
4819	0.001
4824	0.001
4829	0.001
4834	0.001
4839	0.001
4844	0.001
4849	0.001
4854	0.001
4859	0.001
4864	0.001
4869	0.001
4874	0.001
4879	0.001
4884	0.001
4889	0.001
4894	0.001
4899	0.001
4904	0.001
4909	0.001
4914	0.001
4919	0.001
4924	0.001
4929	0.001
4934	0.001
4939	0.001
4944	0.001
4949	0.001
4954	0.001
4959	0.001
4964	0.001
4969	0.001
4974	0.001
4979	0.001
4984	0.001
4989	0.001
4994	0.001
4999	0.001
5004	0.001
5009	0.001
5014	0.001
5019	0.001
5024	0.001
5029	0.001
5034	0.001
5039	0.001
5044	0.001
5049	0.001
5054	0.001
5059	0.001
5064	0.001
5069	0.001
5074	0.001
5079	0.001
5084	0.001
5089	0.001
5094	0.001
5099	0.001
5104	0.001
5109	0.001
5114	0.001
5119	0.001
5124	0.001
5129	0.001
5134	0.001
5139	0.001
5144	0.001
5149	0.001
5154	0.001
5159	0.001
5164	0.001
5169	0.001
5174	0.001
5179	0.001
5184	0.001
5189	0.001
5194	0.001
5199	0.001
5204	0.001
5209	0.001
5214	0.001
5219	0.001
5224	0.001
5229	0.001
5234	0.001
5239	0.001
5244	0.001
5249	0.001
5254	0.001
5259	0.001
5264	0.001
5269	0.001
5274	0.001
5279	0.001
5284	0.001
5289	0.001
5294	0.001
5299	0.001
5304	0.001
5309	0.001
5314	0.001
5319	0.001
5324	0.001
5329	0.001
5334	0.001
5339	0.001
5344	0.001
5349	0.001
5354	0.001
5359	0.001
5364	0.001
5369	0.001
5374	0.001
5379	0.001
5384	0.001
5389	0.001
5394	0.001
5399	0.001
5404	0.001
5409	0.001
5414	0.001
5419	0.001
5424	0.001
5429	0.001
5434	0.001
5439	0.001
5444	0.001
5449	0.001
5454	0.001
5459	0.001
5464	0.001
5469	0.001
5474	0.001
5479	0.001
5484	0.001
5489	0.001
5494	0.001
5499	0.001
5504	0.001
5509	0.001
5514	0.001
5519	0.001
5524	0.001
5529	0.001
5534	0.001
5539	0.001
5544	0.001
5549	0.001
5554	0.001
5559	0.001
5564	0.001
5569	0.001
5574	0.001
5579	0.001
5584	0.001
5589	0.001
5594	0.001
5599	0.001
5604	0.001
5609	0.001
5614	0.001
5619	0.001
5624	0.001
5629	0.001
5634	0.001
5639	0.001
5644	0.001
5649	0.001
5654	0.001
5659	0.001
5664	0.001
5669	0.001
5674	0.001
5679	0.001
5684	0.001
5689	0.001
5694	0.001
5699	0.001
5704	0.001
5709	0.001
5714	0.001
5719	0.001
5724	0.001
5729	0.001
5734	0.001
5739	0.001
5744	0.001
5749	0.001
5754	0.001
5759	0.001
5764	0.001
5769	0.001
5774	0.001
5779	0.001
5784	0.001
5789	0.001
5794	0.001
5799	0.001
5804	0.001
5809	0.001
5814	0.001
5819	0.001
5824	0.001
5829	0.001
5834	0.001
5839	0.001
5844	0.001
5849	0.001
5854	0.001
5859	0.001
5864	0.001
5869	0.001
5874	0.001
5879	0.001
5884	0.001
5889	0.001
5894	0.001
5899	0.001
5904	0.001
5909	0.001
5914	0.001
5919	0.001
5924	0.001
5929	0.001
5934	0.001
5939	0.001
5944	0.001
5949	0.001
5954	0.001
5959	0.001
5964	0.001
5969	0.001
5974	0.001
5979	0.001
5984	0.001
5989	0.001
5994	0.001
5999	0.001
6004	0.001
6009	0.001
6014	0.001
6019	0.001
6024	0.001
6029	0.001
6034	0.001
6039	0.001
6044	0.001
6049	0.001
6054	0.001
6059	0.001
6064	0.001
6069	0.001
6074	0.001
6079	0.001
6084	0.001
6089	0.001
6094	0.001
6099	0.001
6104	0.001
6109	0.001
6114	0.001
6119	0.001
6124	0.001
6129	0.001
6134	0.001
6139	0.001
6144	0.001
6149	0.001
6154	0.001
6159	0.001
6164	0.001
6169	0.001
6174	0.001
6179	0.001
6184	0.001
6189	0.001
6194	0.001
6199	0.001
6204	0.001
6209	0.001
6214	0.001
6219	0.001
6224	0.001
6229	0.001
6234	0.001
6239	0.001
6244	0.001
6249	0.001
6254	0.001
6259	0.001
6264	0.001
6269	0.001
6274	0.001
6279	0.001
6284	0.001
6289	0.001
6294	0.001
6299	0.001
6304	0.001
6309	0.001
6314	0.001
6319	0.001
6324	0.001
6329	0.001
6334	0.001
6339	0.001
6344	0.001
6349	0.001
6354	0.001
6359	0.001
6364	0.001
6369	0.001
6374	0.001
6379	0.001
6384	0.001
6389	0.001
6394	0.001
6399	0.001
6404	0.001
6409	0.001
6414	0.001
6419	0.001
6424	0.001
6429	0.001
6434	0.001
6439	0.001
6444	0.001
6449	0.001
6454	0.001
6459	0.001
6464	0.001
6469	0.001
6474	0.001
6479	0.001
6484	0.001
6489	0.001
6494	0.001
6499	0.001
6504	0.001
6509	0.001
6514	0.001
6519	0.001
6524	0.001
6529	0.001
6534	0.001
6539	0.001
6544	0.001
6549	0.001
6554	0.001
6559	0.001
6564	0.001
6569	0.001
6574	0.001
6579	0.001
6584	0.001
6589	0.001
6594	0.001
6599	0.001
6604	0.001
6609	0.001
6614	0.001
6619	0.001
6624	0.001
6629	0.001
6634	0.001
6639	0.001
6644	0.001
6649	0.001
6654	0.001
6659	0.001
6664	0.001
6669	0.001
6674	0.001
6679	0.001
6684	0.001
6689	0.001
6694	0.001
6699	0.001
6704	0.001
6709	0.001
6714	0.001
6719	0.001
6724	0.001
6729	0.001
6734	0.001
6739	0.001
6744	0.001
6749	0.001
6754	0.001
6759	0.001
6764	0.001
6769	0.001
6774	0.001
6779	0.001
6784	0.001
6789	0.001
6794	0.001
6799	0.001
6804	0.001
